"symbol-id","category-id","grammar","rated","tags","symbol-en","category-en","category-vi","symbol-vi"
"120","103","Noun","0","","baseball_game","Sport","Thể thao","trận bóng chày"
"121","104","Noun","0","","baseball_glove","Sport Accessories","Phụ kiện thể thao","găng tay bóng chày"
"122","103","Noun","0","","baseball_player","Sport","Thể thao","cầu thủ bóng chày"
"123","16","Noun","0","celebration","basket","Building Contents","Đồ đạc","cái giỏ"
"124","16","Noun","0","celebration","basket_2","Building Contents","Đồ đạc","cái giỏ 2"
"125","103","Noun","0","games sport","basketball","Sport","Thể thao","bóng rổ"
"126","104","Noun","0","","basketball_ball","Sport Accessories","Phụ kiện thể thao","quả bóng rổ"
"127","103","Noun","0","","basketball_game","Sport","Thể thao","trận bóng rổ"
"128","10","Noun","0","animal wild","bat","Animal Mammal","Động vật có vú","con dơi"
"129","16","Noun","0","grooming","bath","Building Contents","Đồ đạc","bồn tắm"
"130","3","VerbComplex","0","action animal","bath_animal_,_to","Animal Activity Grooming","Chăm sóc động vật","tắm cho thú cưng"
"131","16","Noun","0","home house","bath_mat","Building Contents","Đồ đạc","thảm nhà tắm"
"132","75","Verb","0","grooming","bathe_,_to","Healthcare Grooming activities","Hoạt động vệ sinh cá nhân","tắm"
"133","50","Noun","0","","battery_1","Electrical General","Điện tử chung","pin 1"
"134","50","Noun","0","","battery_1a","Electrical General","Điện tử chung","pin 1a"
"135","50","Noun","0","","battery_2","Electrical General","Điện tử chung","pin 2"
"136","50","Noun","0","","battery_2a","Electrical General","Điện tử chung","pin 2a"
"137","79","Noun","0","holiday","beach","Holiday and travel","Kỳ nghỉ và du lịch","bãi biển"
"138","29","Noun","0","clothes","beach_bag","Clothes Accessories","Phụ kiện quần áo","túi đi biển"
"139","79","Noun","0","holiday","beach_towel","Holiday and travel","Kỳ nghỉ và du lịch","khăn tắm biển"
"140","83","Noun","0","play toys","beads","Leisure Toys","Đồ chơi giải trí","hạt cườm"
"141","7","Noun","0","animal bird","beak","Animal Features","Đặc điểm động vật","mỏ chim"
"142","100","Noun","0","","beaker_1","Science","Khoa học","cốc mỏ vịt 1"
"143","100","Noun","0","","beaker_2","Science","Khoa học","cốc mỏ vịt 2"
"144","83","Noun","0","play toys","beanbag","Leisure Toys","Đồ chơi giải trí","ghế lười"
"145","66","Noun","0","","beans_on_toast","Food Meals and snacks","Bữa ăn và đồ ăn nhẹ","đậu hầm trên bánh mì nướng"
"146","73","Noun","0","","beansprouts","Food Vegetables and salads","Rau củ và salad","giá đỗ"
"147","10","Noun","0","animal mammal wild zoo","bear","Animal Mammal","Động vật có vú","con gấu"
"148","18","Noun","0","","bed_four_poster","Building Furniture","Nội thất","giường bốn cột"
"149","44","Noun","0","calendar diary time","bed_time","Descriptive Time","Thời gian","giờ đi ngủ"
"150","13","Noun","0","insect","bee_bumble","Animal Spiders and Insects","Nhện và côn trùng","ong bầu"
"151","13","Noun","0","insect","bee_honey","Animal Spiders and Insects","Nhện và côn trùng","ong mật"
"152","67","Noun","0","beef food meat","beef","Food Meat","Thịt","thịt bò"
"153","9","Noun","0","animal","beehive","Animal Habitat","Môi trường sống","tổ ong"
"154","48","Noun","0","alcohol drink","beer","Drink Type","Loại đồ uống","bia"
"155","9","Noun","0","animal insect","bees_nest","Animal Habitat","Môi trường sống","tổ ong thiên nhiên"
"156","13","Noun","0","insect","beetle","Animal Spiders and Insects","Nhện và côn trùng","bọ cánh cứng"
"157","73","Noun","0","","beetroot","Food Vegetables and salads","Rau củ và salad","củ dền"
"158","40","Noun","0","direction position","before","Descriptive Position","Vị trí","trước khi"
"159","39","Noun","0","abstract position","begin_start","Descriptive Direction","Hướng","bắt đầu"
"160","40","Noun","0","direction position","behind","Descriptive Position","Vị trí","phía sau"
"161","16","Noun","0","celebration","bell","Building Contents","Đồ đạc","cái chuông"
"162","40","Noun","0","direction position","below","Descriptive Position","Vị trí","phía dưới"
"163","30","Noun","0","clothes","belt","Clothes General","Quần áo chung","thắt lưng"
"164","19","Noun","0","gardening","bench","Building Garden and farm","Vườn và nông trại","ghế dài"
"165","100","Noun","0","","bendy","Science","Khoa học","uốn cong"
"166","100","Noun","0","","bendy_1","Science","Khoa học","uốn cong 1"
"167","62","Noun","0","","berry","Food Fruit","Trái cây","quả mọng"
"168","40","Noun","0","direction position","beside_next_to","Descriptive Position","Vị trí","bên cạnh"
"169","40","Noun","0","direction position","between","Descriptive Position","Vị trí","ở giữa"
"170","30","Noun","0","clothes","bib","Clothes General","Quần áo chung","yếm ăn dặm"
"171","110","Noun","0","transport travel","bicycle","Transport Road","Đường bộ","xe đạp"
"172","33","Noun","0","AAC electric","big_mac_switch","Communication Aid","Phương tiện giao tiếp","nút bấm Big Mac"
"173","79","Noun","0","holiday","big_wheel","Holiday and travel","Kỳ nghỉ và du lịch","vòng quay khổng lồ"
"174","30","Noun","0","clothes swimwear","bikini","Clothes General","Quần áo chung","đồ bơi hai mảnh"
"175","16","Noun","0","home house","bin_bag","Building Contents","Đồ đạc","túi rác"
"176","16","Noun","0","","bin_bags","Building Contents","Đồ đạc","các túi rác"
"177","80","Noun","0","","bingo","Leisure Games","Trò chơi giải trí","trò chơi bingo"
"178","80","Noun","0","","bingo_marker","Leisure Games","Trò chơi giải trí","bút đánh dấu bingo"
"179","5","Noun","0","animal bird pet wild","bird","Animal Birds","Chim","con chim"
"180","9","Noun","0","animal bird","bird_bath","Animal Habitat","Môi trường sống","bể tắm cho chim"
"181","9","Noun","0","animal bird","bird_cage","Animal Habitat","Môi trường sống","lồng chim"
"182","9","Noun","0","animal bird","bird_feeder","Animal Habitat","Môi trường sống","máng ăn cho chim"
"183","2","Noun","0","animal bird","bird_seed","Animal Activity Feeding","Cho động vật ăn","thức ăn cho chim"
"184","28","Noun","0","celebration food","birthday_cake","Celebration Item","Đồ vật lễ kỷ niệm","bánh sinh nhật"
"185","28","Noun","0","celebration","birthday_card","Celebration Item","Đồ vật lễ kỷ niệm","thiệp sinh nhật"
"186","55","Noun","0","food snack","biscuit_chocolate_chip","Food Breads and baking","Bánh mì và bánh nướng","bánh quy sô-cô-la chip"
"187","55","Noun","0","food snack","biscuits","Food Breads and baking","Bánh mì và bánh nướng","bánh quy"
"188","14","Noun","0","","black","Art Colour","Màu sắc","màu đen"
"189","62","Noun","0","","blackberry","Food Fruit","Trái cây","quả mâm xôi đen"
"190","17","Noun","0","class school","blackboard","Building Equipment and devices","Thiết bị và dụng cụ","bảng đen"
"191","48","Noun","0","drink juice","blackcurrant_juice","Drink Type","Loại đồ uống","nước quả lý chua đen"
"192","62","Noun","0","","blackcurrants","Food Fruit","Trái cây","quả lý chua đen"
"193","74","Noun","0","","bladder","Healthcare Body parts","Bộ phận cơ thể","bàng quang"
"194","74","Noun","0","","bladder_kidneys","Healthcare Body parts","Bộ phận cơ thể","thận và bàng quang"
"195","16","Noun","0","","blanket","Building Contents","Đồ đạc","cái chăn"
"196","18","Noun","0","","blanket_chest","Building Furniture","Nội thất","rương đựng chăn"
"197","65","Noun","0","","blender_drinks","Food Kitchen items","Đồ dùng nhà bếp","máy xay sinh tố"
"198","98","Verb","0","celebration Christian","bless_,_to","Religion General","Tôn giáo chung","ban phước"
"199","90","Noun","0","","blind","People Descriptive","Mô tả con người","màn che"
"200","90","Noun","0","","blind_2","People Descriptive","Mô tả con người","màn che 2"
"201","16","Noun","0","home house","blinds","Building Contents","Đồ đạc","rèm sáo"
"202","77","Noun","0","clinic health hospital medical","blood_pressure","Healthcare Medical conditions","Tình trạng y tế","huyết áp"
"203","30","Noun","0","clothes","blouse","Clothes General","Quần áo chung","áo sơ mi nữ"
"204","14","Noun","0","","blue","Art Colour","Màu sắc","màu xanh dương"
"205","14","Noun","0","","blue_dark","Art Colour","Màu sắc","màu xanh dương đậm"
"206","14","Noun","0","","blue_light","Art Colour","Màu sắc","màu xanh dương nhạt"
"207","76","Noun","0","grooming","blusher","Healthcare Grooming items","Đồ vệ sinh cá nhân","phấn má hồng"
"208","112","Noun","0","transport travel","boat","Transport Water","Đường thủy","con thuyền"
"209","30","Noun","0","clothes hat","bobble_hat","Clothes General","Quần áo chung","mũ len có chóp"
"210","103","Noun","0","","boccia","Sport","Thể thao","môn bóng boccia"
"211","104","Noun","0","","boccia_chute","Sport Accessories","Phụ kiện thể thao","máng trượt bóng boccia"
"212","74","Noun","0","body","body_outline","Healthcare Body parts","Bộ phận cơ thể","hình dáng cơ thể"
"213","107","Noun","0","DIY tools workshop","bolt","Tools Workshop","Dụng cụ xưởng","bu-lông"
"214","2","Noun","0","animal","bone","Animal Activity Feeding","Cho động vật ăn","xương"
"215","74","Noun","0","","bone_2","Healthcare Body parts","Bộ phận cơ thể","xương 2"
"216","19","Noun","0","celebration","bonfire","Building Garden and farm","Vườn và nông trại","lửa trại"
"217","27","Noun","0","celebration","Bonfire_Night","Celebration Event","Sự kiện kỷ niệm","Đêm lửa trại"
"218","16","Noun","0","","book_end","Building Contents","Đồ đạc","chặn sách"
"219","16","Noun","0","","book_ends","Building Contents","Đồ đạc","cặp chặn sách"
"220","18","Noun","0","","book_shelf","Building Furniture","Nội thất","kệ sách"
"221","18","Noun","0","","bookcase","Building Furniture","Nội thất","tủ sách"
"222","30","Noun","0","clothes footwear","bootees","Clothes General","Quần áo chung","giày len cho trẻ sơ sinh"
"223","30","Noun","0","clothes footwear","boots","Clothes General","Quần áo chung","ủng / bốt"
"224","41","Noun","0","abstract direction position","both","Descriptive Quantity","Số lượng","cả hai"
"225","40","Noun","0","direction position","bottom","Descriptive Position","Vị trí","mông / phần dưới"
"226","40","Noun","0","abstract adjective position","bottom_2","Descriptive Position","Vị trí","mông / phần dưới 2"
"227","74","Noun","0","","bottom_3","Healthcare Body parts","Bộ phận cơ thể","mông / phần dưới 3"
"228","29","Noun","0","","bow","Clothes Accessories","Phụ kiện quần áo","cái nơ / cây vĩ"
"229","104","Noun","0","games sport","bow_and_arrow","Sport Accessories","Phụ kiện thể thao","cung và tên"
"230","29","Noun","0","","bow_tie","Clothes Accessories","Phụ kiện quần áo","nơ đeo cổ"
"231","65","Noun","0","cooking feeding kitchen","bowl","Food Kitchen items","Đồ dùng nhà bếp","cái bát / tô"
"232","103","Noun","0","","bowler_1","Sport","Thể thao","người ném bóng 1"
"233","103","Noun","0","games sport","bowling","Sport","Thể thao","môn bowling"
"234","104","Noun","0","","bowling_ball","Sport Accessories","Phụ kiện thể thao","bóng bowling"
"235","104","Noun","0","","bowling_gutter","Sport Accessories","Phụ kiện thể thao","rãnh bowling"
"236","104","Noun","0","","bowling_pins","Sport Accessories","Phụ kiện thể thao","con ki bowling"
"237","104","Noun","0","","bowling_spare","Sport Accessories","Phụ kiện thể thao","lượt đổ điểm spare"
"238","104","Noun","0","","bowling_strike","Sport Accessories","Phụ kiện thể thao","lượt đổ điểm strike"
"239","30","Noun","0","clothes underwear","boxer_shorts","Clothes General","Quần áo chung","quần đùi nam"
"240","97","Noun","0","celebration Christian","Boxing_Day","Religion Festival","Lễ hội tôn giáo","Ngày Tặng Quà"
"241","30","Noun","0","clothes underwear","bra","Clothes General","Quần áo chung","áo ngực"
"242","31","Noun","0","clothes jewellery","bracelet_1","Clothes Jewellery","Trang sức","vòng tay 1"
"243","31","Noun","0","clothes jewellery","bracelet_2","Clothes Jewellery","Trang sức","vòng tay 2"
"244","74","Noun","0","","brain","Healthcare Body parts","Bộ phận cơ thể","não bộ"
"245","94","Noun","0","gardening plant","branch","Plants and Trees","Cây cối và thực vật","cành cây"
"246","68","Noun","0","","brazil_nut","Food Nuts","Các loại hạt","hạt dẻ Brazil"
"247","55","Noun","0","food","bread","Food Breads and baking","Bánh mì và bánh nướng","bánh mì"
"248","55","Noun","0","","bread_crumbs","Food Breads and baking","Bánh mì và bánh nướng","vụn bánh mì"
"249","55","Noun","0","food","bread_roll","Food Breads and baking","Bánh mì và bánh nướng","bánh mì tròn"
"250","55","Noun","0","","bread_roll_2","Food Breads and baking","Bánh mì và bánh nướng","bánh mì tròn 2"
"251","55","Noun","0","","bread_roll_3","Food Breads and baking","Bánh mì và bánh nướng","bánh mì tròn 3"
"252","55","Noun","0","","bread_roll_filled","Food Breads and baking","Bánh mì và bánh nướng","bánh mì kẹp"
"253","55","Noun","0","","bread_roll_granary","Food Breads and baking","Bánh mì và bánh nướng","bánh mì ngũ cốc tròn"
"254","55","Noun","0","","bread_slice","Food Breads and baking","Bánh mì và bánh nướng","lát bánh mì"
"255","55","Noun","0","","bread_sliced","Food Breads and baking","Bánh mì và bánh nướng","bánh mì gối cắt lát"
"256","66","Noun","0","","breafkfast_continental_1","Food Meals and snacks","Bữa ăn và đồ ăn nhẹ","bữa sáng kiểu Âu 1"
"257","66","Noun","0","","breafkfast_continental_2","Food Meals and snacks","Bữa ăn và đồ ăn nhẹ","bữa sáng kiểu Âu 2"
"258","66","Noun","0","","breafkfast_fried","Food Meals and snacks","Bữa ăn và đồ ăn nhẹ","bữa sáng đồ chiên"
"259","43","Verb","0","abstract","break_,_to","Descriptive State","Trạng thái","làm vỡ / làm gãy"
"260","43","Noun","0","abstract","break_2","Descriptive State","Trạng thái","làm vỡ / gãy 2"
"261","64","VerbComplex","0","cooking","break_egg_,_to","Food Kitchen actions","Hành động trong bếp","đập trứng"
"262","117","Noun","0","class office school","break_time_1","Work and School Timetable","Thời khóa biểu","giờ giải lao 1"
"263","117","Noun","0","class school","break_time_2","Work and School Timetable","Thời khóa biểu","giờ giải lao 2"
"264","66","Noun","0","","breakfast_1","Food Meals and snacks","Bữa ăn và đồ ăn nhẹ","bữa sáng 1"
"265","66","Noun","0","","breakfast_2","Food Meals and snacks","Bữa ăn và đồ ăn nhẹ","bữa sáng 2"
"266","66","Noun","0","","breakfast_3","Food Meals and snacks","Bữa ăn và đồ ăn nhẹ","bữa sáng 3"
"267","66","Noun","0","","breakfast_4","Food Meals and snacks","Bữa ăn và đồ ăn nhẹ","bữa sáng 4"
"268","66","Noun","0","","breakfast_5","Food Meals and snacks","Bữa ăn và đồ ăn nhẹ","bữa sáng 5"
"269","66","Noun","0","","breakfast_6","Food Meals and snacks","Bữa ăn và đồ ăn nhẹ","bữa sáng 6"
"270","44","Noun","0","calendar diary time","breakfast_time","Descriptive Time","Thời gian","giờ ăn sáng"
"271","44","Noun","0","calendar diary time","breakfast_time_1","Descriptive Time","Thời gian","giờ ăn sáng 1"
"272","83","Noun","0","play toys","bricks","Leisure Toys","Đồ chơi giải trí","gạch xếp hình / gạch xây dựng"
"273","3","Noun","0","animal","bridle","Animal Activity Grooming","Chăm sóc động vật","dây cương"
"274","29","Noun","0","clothes","briefcase_1","Clothes Accessories","Phụ kiện quần áo","cặp táp 1"
"275","29","Noun","0","clothes","briefcase_2","Clothes Accessories","Phụ kiện quần áo","cặp táp 2"
"276","50","Noun","0","","bright","Electrical General","Điện tử chung","sáng sủa"
"277","43","Noun","0","abstract","bright_room","Descriptive State","Trạng thái","phòng sáng sủa"
"278","73","Noun","0","","broad_beans","Food Vegetables and salads","Rau củ và salad","đậu tằm"
"279","73","Noun","0","food vegetable","broccoli","Food Vegetables and salads","Rau củ và salad","súp lơ xanh"
"280","43","Noun","0","abstract","broken","Descriptive State","Trạng thái","bị hỏng / bị gãy"
"281","77","Noun","0","","broken_bone","Healthcare Medical conditions","Tình trạng y tế","gãy xương"
"282","31","Noun","0","clothes jewellery","brooch","Clothes Jewellery","Trang sức","trâm cài áo"
"283","16","Noun","0","home house","broom","Building Contents","Đồ đạc","cái chổi"
"284","28","Noun","0","celebration","broomstick","Celebration Item","Đồ vật lễ kỷ niệm","cán chổi"
"285","93","Noun","0","family relationship relatives","brother","People Relationship","Quan hệ gia đình và xã hội","anh / em trai"
"286","14","Noun","0","","brown","Art Colour","Màu sắc","màu nâu"
"287","3","VerbComplex","0","action animal","brush_animal_,_to","Animal Activity Grooming","Chăm sóc động vật","chải lông thú cưng"
"288","75","VerbComplex","0","grooming","brush_hair_,_to","Healthcare Grooming activities","Hoạt động vệ sinh cá nhân","chải tóc"
"289","75","VerbComplex","0","grooming","brush_teeth_,_to","Healthcare Grooming activities","Hoạt động vệ sinh cá nhân","đánh răng"
"290","73","Noun","0","","brussel_sprouts","Food Vegetables and salads","Rau củ và salad","bắp cải Brussels"
"291","76","Noun","0","grooming","bubble_bath","Healthcare Grooming items","Đồ vệ sinh cá nhân","sữa tắm tạo bọt"
"292","71","Noun","0","","bubble_gum_-_blow","Food Sweets and desserts","Bánh kẹo và món tráng miệng","thổi kẹo cao su"
